Car Name,Price
Honda City 1.2L CVT,"PKR 4,737,000Get On Road Price"
Honda City 1.5L ASPIRE CVT,"PKR 6,069,000Get On Road Price"
Honda City 1.5L ASPIRE S CVT,"PKR 6,149,000Get On Road Price"
Honda BR-V i-VTEC S,"PKR 6,429,000Get On Road Price"
Honda HR-V VTi,"PKR 7,549,000Get On Road Price"
Honda HR-V VTi-S,"PKR 7,799,000Get On Road Price"
Honda HR-V e:HEV,"PKR 8,999,000Get On Road Price"
Honda Civic Standard,"PKR 8,499,000Get On Road PriceLast Updated: 01-01-2026"
Honda Civic Oriel,"PKR 8,834,000Get On Road Price"
Honda Civic RS,"PKR 10,100,000Get On Road Price"
